id_product,product_name,product_link,regular_price,promo_price,brand
"599734,""Пиво Волковская пивоварня India Pale Ale, 0.45л"",https://online.metro-cc.ru/products/volkovskaya-pivovarnya-india-pale-ale-045-l,99.90,,ВОЛКОВСКАЯ ПИВОВАРНЯ"
"435728,""Пиво Grotwerg светлое, 0.5л"",https://online.metro-cc.ru/products/svetloe-grotwerg-lager-zheleznaya-banka-05-l,139,,GROTWERG"
"75168,""Пиво Балтика №7 Мягкое, 0.44л"",https://online.metro-cc.ru/products/myagkoe-7-v-stekle-baltika-044-l,64.90,54.90,БАЛТИКА"
"127896,""Пивной напиток Garage Seth&Riley's лимон, 0.4л"",https://online.metro-cc.ru/products/garage-seth-rileys-limon-04-l,84.90,74.90,GARAGE"
127892,Пивной напиток Garage Seth&Riley's вишня 0.4л,https://online.metro-cc.ru/products/garage-seth-rileys-vishnya-04-l,84.90,74.90,GARAGE
"136834,""Пиво Хамовники Венское, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-hamovniki-venskoe-zhb,75.90,59.90,ХАМОВНИКИ"
"33331,""Пиво Старый Мельник из Бочонка бархатное, 0.45л"",https://online.metro-cc.ru/products/staryj-melnik-iz-bochonka-barhatnoe-st-b-045-l,77.90,59.90,СТАРЫЙ МЕЛЬНИК"
"118240,""Пиво St. Pierre Blond, 0.5л"",https://online.metro-cc.ru/products/stpierre-blond-zh-b-05-l,149,139,ST. PIERRE"
"584941,""Пиво Engel Gold фильтрованное светлое, 0.5л"",https://online.metro-cc.ru/products/engel-gold-500ml,339,,ENGEL GOLD"
"208797,""Пиво Peroni Nastro Azzurro, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-peroni-st,199,169,PERONI"
"58806,""Пиво Старый Мельник из Бочонка светлое, 0.45л"",https://online.metro-cc.ru/products/staryj-melnik-iz-bochonka-svetloe-st-b-045-l,77.90,59.90,СТАРЫЙ МЕЛЬНИК"
"91743,""Пиво Marstons Oyster Stout темное, 0.5л"",https://online.metro-cc.ru/products/oyster-stout-temnoe-steklo-05-l,259,,MARSTONS OYSTER STOUT"
"74912,""Пиво Otto Von Schrodder Premium Lager светлое, 0.5л"",https://online.metro-cc.ru/products/otto-von-schrodder-premium-lager-svetloe-v-zheleznoj-banke-05-l,148,129,OTTO VON SCHRDDER"
"354573,""Пиво Prazacka светлое, 0.5л"",https://online.metro-cc.ru/products/prazecka-05-l,189,,PRAZACKA"
"88892,""Пиво Lowenbrau пшеничное безалкогольное, 0.45л"",https://online.metro-cc.ru/products/pshenichnoe-lowenbrau-bezalkogolnoe-zh-b-045-l,59.90,49.90,LOWENBRAU"
"122250,""Пиво Lowenbrau крепкое, 0.45л"",https://online.metro-cc.ru/products/045-l-lovenbrau-krepkoe-zh-b,76.90,,LOWENBRAU"
"639620,""Пиво Волковская пивоварня APA, 0.45л"",https://online.metro-cc.ru/products/volkovskaya-pivovarnya-apa-steklo-045-l,99.90,,ВОЛКОВСКАЯ ПИВОВАРНЯ"
"639629,""Пиво Волковская пивоварня Бланш де Мазай светлое нефильтрованное, 0.45л"",https://online.metro-cc.ru/products/svetloe-volkovskaya-pivovarnya-blansh-de-mazaj-pshenichnoe-nefiltrovannoe-steklo045-l,99.90,,ВОЛКОВСКАЯ ПИВОВАРНЯ"
216821,Пиво Stanley Cooper 0.5л,https://online.metro-cc.ru/products/pivo-stanley-cooper-05l,135,129,STANLEY COOPER
"135256,""Пиво De Halve Maan Dehalmaan StraffeHend Bruegel темное, 0.33л"",https://online.metro-cc.ru/products/dehalmaan-straffehend-bruegel-temnoe-033-l,369,,DE HALVE MAAN"
"137341,""Пиво Балтика Lav, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-lav-baltika-zhb-137341,57.90,54.90,БАЛТИКА"
"127807,""Пивной напиток St. Pierre Blanche, 0.5л"",https://online.metro-cc.ru/products/napitok-st-pierre-blanche-05-l,149,139,ST. PIERRE"
"140452,""Пиво Puzzle IPA Sing Hop American, 0.45л"",https://online.metro-cc.ru/products/045l-pivo-sing-hop-pazzl-amerikan-ipa-zhb,149,,PUZZLE IPA"
"213480,""Пиво Eboshi светлое, 0.33л"",https://online.metro-cc.ru/products/033l-pivo-eboshi-st,145,124.90,EBOSHI"
"136210,""Пиво Wolpertinger Dunkles, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-volpertinger-dunkel-zhb,169,129,WOLPERTINGER"
"215170,""Пиво Konix Brewery Munich Helles, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-konix-brewery-koniks-myunih-helles-st,129,,KONIX BREWERY"
"234955,""Пиво Kronenbourg 1664, 0.45л"",https://online.metro-cc.ru/products/pivo-kronenbourg-1664-045l,94.90,83.90,KRONENBOURG"
"234969,""Пиво Балтика №3 классическое, 0.5л"",https://online.metro-cc.ru/products/pivo-baltika-3-klassicheskoe-05l,64.90,,БАЛТИКА"
"13497,""Пиво Hofbrau Schwarze Weisse темное нефильтрованное, 0.5л"",https://online.metro-cc.ru/products/hofbrau-munchner-weisse-v-steklyannoj-butylke-05-l,259,,HOFBRAU"
200771,Пиво Zatecky Gus 0.45л,https://online.metro-cc.ru/products/045l-pivo-zhatetskiy-gus-st,82.90,59.90,ZATECKY GUS
"635979,""Пиво Hollandia светлое, 0.45л"",https://online.metro-cc.ru/products/hollandia-045-l,74.90,,HOLLANDIA"
"59516,""Пивной напиток Belgian Kriek с ароматом вишни, 0.33л"",https://online.metro-cc.ru/products/art-59516,279,,BELGIAN KRIEK"
"208366,""Пиво Harbin пшеничное светлое, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-harbin-pshenichnoe-svetloe-st,209,,HARBIN"
"239394,""Пиво Steinbrau Pilsener, 0.5л"",https://online.metro-cc.ru/products/05l-pivo-steinbrau-pilsener-st-239394,199,,STEINBRAU"
"583401,""Пиво Балтика №3 Классическое, 0.45л"",https://online.metro-cc.ru/products/baltika-3-klassicheskoe-zhestyanaya-banka-045-l-583401,68.90,53.90,БАЛТИКА"
"31131,""Пиво Старый Мельник из Бочонка Мягкое, 0.45л"",https://online.metro-cc.ru/products/staryj-melnik-iz-bochonka-myagkoe-svetloe-st-b-045-l,77.90,59.90,СТАРЫЙ МЕЛЬНИК"
"117816,""Пиво Flensburger Gold, 0.5л"",https://online.metro-cc.ru/products/05-l-flensburger-gold-st,284,274.90,FLENSBURGER"
